Template,Loc. X,Loc. Y,Loc. Z,X focus,Y focus,Cant vect.,Cant vect.,Cant vect.,Aim pt. X,Aim pt. Y,Aim pt. Z
,[m],[m],[m],[m],[m],<i>,<j>,<k>,[m],[m],[m]
0,-1496.906312,-379.631243,0,NULL,NULL,NULL,NULL,NULL,-12.601075,-3.195766,240
0,1251.97564,-1157.697828,0,NULL,NULL,NULL,NULL,NULL,9.544735,-8.825986,240
0,935.458992,-1352.942985,0,NULL,NULL,NULL,NULL,NULL,7.39335,-10.692912,240
0,412.285295,-1502.698807,0,NULL,NULL,NULL,NULL,NULL,3.439612,-12.536709,240
0,308.504344,-1513.166698,0,NULL,NULL,NULL,NULL,NULL,2.597014,-12.737956,240
0,-1669.517062,672.343597,0,NULL,NULL,NULL,NULL,NULL,-12.058864,4.856315,240
0,1460.091939,-968.225704,0,NULL,NULL,NULL,NULL,NULL,10.834324,-7.184527,240
0,-647.815248,-1311.591762,0,NULL,NULL,NULL,NULL,NULL,-5.75697,-11.655784,240
0,-1610.328231,-128.756655,0,NULL,NULL,NULL,NULL,NULL,-12.958643,-1.036131,240
0,-1095.64602,-969.276713,0,NULL,NULL,NULL,NULL,NULL,-9.736729,-8.613717,240
0,1022.574455,-1307.400877,0,NULL,NULL,NULL,NULL,NULL,8.00905,-10.239879,240
0,-1590.443635,-183.828711,0,NULL,NULL,NULL,NULL,NULL,-12.914024,-1.492645,240
0,-1223.827759,-825.245569,0,NULL,NULL,NULL,NULL,NULL,-10.778455,-7.268075,240
0,-1688.875839,465.862517,0,NULL,NULL,NULL,NULL,NULL,-12.531969,3.456841,240
0,688.023871,-1445.658017,0,NULL,NULL,NULL,NULL,NULL,5.58659,-11.738399,240
0,-275.886489,-1463.751015,0,NULL,NULL,NULL,NULL,NULL,-2.407833,-12.775067,240
0,-1677.108025,607.561112,0,NULL,NULL,NULL,NULL,NULL,-12.222681,4.427875,240
0,767.640417,-1421.430082,0,NULL,NULL,NULL,NULL,NULL,6.177361,-11.438541,240
0,1639.847788,-741.776492,0,NULL,NULL,NULL,NULL,NULL,11.844564,-5.357826,240
0,-1304.168468,-719.600581,0,NULL,NULL,NULL,NULL,NULL,-11.382291,-6.280403,240
0,-1644.85049,-2.260891,0,NULL,NULL,NULL,NULL,NULL,-12.999988,-0.017869,240
0,-1362.318016,-634.844647,0,NULL,NULL,NULL,NULL,NULL,-11.783375,-5.491091,240
0,-1689.486576,326.211643,0,NULL,NULL,NULL,NULL,NULL,-12.764244,2.464562,240
0,-431.032488,-1411.734971,0,NULL,NULL,NULL,NULL,NULL,-3.796175,-12.433385,240
0,857.587838,-1386.349164,0,NULL,NULL,NULL,NULL,NULL,6.838987,-11.055689,240
0,-634.034728,-1318.308579,0,NULL,NULL,NULL,NULL,NULL,-5.634506,-11.715474,240
0,-1409.350165,-560.370271,0,NULL,NULL,NULL,NULL,NULL,-12.080131,-4.803169,240
0,-130.19831,-1497.326452,0,NULL,NULL,NULL,NULL,NULL,-1.126151,-12.951131,240
0,1396.18885,-1031.982192,0,NULL,NULL,NULL,NULL,NULL,10.454231,-7.727164,240
0,-1545.395893,-290.235239,0,NULL,NULL,NULL,NULL,NULL,-12.776629,-2.399533,240
0,1521.090779,-900.615615,0,NULL,NULL,NULL,NULL,NULL,11.186278,-6.623231,240
0,-1105.743479,-957.741564,0,NULL,NULL,NULL,NULL,NULL,-9.826462,-8.511207,240
0,516.106821,-1485.300882,0,NULL,NULL,NULL,NULL,NULL,4.266936,-12.279791,240
0,1180.735824,-1209.088482,0,NULL,NULL,NULL,NULL,NULL,9.082691,-9.300791,240
0,1585.661489,-817.00641,0,NULL,NULL,NULL,NULL,NULL,11.556223,-5.954302,240
0,-1568.695965,-237.660136,0,NULL,NULL,NULL,NULL,NULL,-12.853327,-1.947301,240
0,-1684.638563,264.007907,0,NULL,NULL,NULL,NULL,NULL,-12.843244,2.012727,240
0,607.948506,-1465.499227,0,NULL,NULL,NULL,NULL,NULL,4.98131,-12.00777,240
0,-1669.792456,128.892534,0,NULL,NULL,NULL,NULL,NULL,-12.961443,1.000503,240
