azimuth [deg], elevation[deg], efficiency
90, 10, 0.183205820938205
90, 20, 0.35410273194825254
90, 30, 0.4997755235555112
90, 40, 0.6188632893248625
90, 50, 0.6185852788157817
90, 60, 0.6457780448744731
90, 70, 0.667751820224808
90, 80, 0.67313945245187
90, 90, 0.6729208156011022
