Name,Position [m],Focus [m]
A01,-19.5 46 10,46
A02,-13 46 10,46
A03,-6.5 46 10,46
A04,0 46 10,46
A05,6.5 46 10,46
A06,13 46 10,46
A07,19.5 46 10,46
B01,-22.72 52 14.5,52
B02,-16.22 52 14.5,52
B03,-9.72 52 14.5,52
B04,-3.28 52 14.5,52
B05,3.28 52 14.5,52
B06,9.78 52 14.5,52
B07,16.28 52 14.5,52
B08,22.78 52 14.5,52
C01,-13 58 19.5,58
C02,-6.5 58 19.5,58
C03,0 58 19.5,58
C04,6.5 58 19.5,58
C05,13 58 19.5,58
